study,questionnaire,answer_list,value,label,label_de
soep-is,soep-is-2011,q166,4,Definitely,Ganz sicher
soep-is,soep-is-2011,q167,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q167,1,Yes,Ja
soep-is,soep-is-2011,q167,2,No,Nein
soep-is,soep-is-2011,q168,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q168,1,Yes,Ja
soep-is,soep-is-2011,q168,2,No,Nein
soep-is,soep-is-2011,q169,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q169,10,10%,10%
soep-is,soep-is-2011,q169,20,20%,20%
soep-is,soep-is-2011,q169,30,30%,30%
