study,questionnaire,answer_list,value,label,label_de,,
soep-is,soep-is-2011,q160f_1,1,"Does not apply, I have only been self-employed","Trifft nicht zu, war nur als Selbständiger tätig",341,q160f_1
soep-is,soep-is-2011,q160f_1,2,"Does not apply, I have not been employed at all","Trifft nicht zu, war überhaupt nicht erwerbstätig",342,q160f_1
soep-is,soep-is-2011,q161,-2,No answer,Keine Angabe,343,q161
soep-is,soep-is-2011,q161,1,Employed full-time,Voll erwerbstätig,344,q161
soep-is,soep-is-2011,q161,2,Employed part-time,In Teilzeitbeschäftigung,345,q161
soep-is,soep-is-2011,q161,3,Completing in-service training (betriebliche Ausbildung) / apprenticeship (Lehre) / in-service retraining (betriebliche Umschulung),"In betrieblicher Ausbildung, Lehre oder betrieblicher Umschulung",346,q161
soep-is,soep-is-2011,q161,4,In marginal (geringfügig) or irregular employment (unregelmäßig erwerbstätig),Geringfügig oder unregelmäßig erwerbstätig,347,q161
soep-is,soep-is-2011,q161,5,"In partial retirement, phase with zero working hours (Altersteilzeit mit Arbeitszeit Null)",In Altersteilzeit mit Arbeitszeit Null,348,q161
soep-is,soep-is-2011,q161,6,Completing compulsory military service (Wehrpflicht),Als Wehrpflichtiger beim Wehrdienst,349,q161
soep-is,soep-is-2011,q161,7,Completing community service as a substitute for compulsory military service (Zivildienst) or as a voluntary social year (freiwilliges soziales Year),Zivildienstleistender oder Freiwilliges soziales Jahr,350,q161
soep-is,soep-is-2011,q161,8,In the federal volunteer service (Bundesfreiwilligendienst),Bundesfreiwilligendienst,351,q161
soep-is,soep-is-2011,q161,9,Not employed,Nicht erwerbstätig,352,q161
soep-is,soep-is-2011,q162,-2,No answer,Keine Angabe,353,q162
soep-is,soep-is-2011,q162,1,Yes,Ja,354,q162
soep-is,soep-is-2011,q162,2,No,Nein,355,q162
soep-is,soep-is-2011,q163,-2,No answer,Keine Angabe,356,q163
soep-is,soep-is-2011,q163,1,"Yes, a job-creation measure (ABM)","Ja, ABM-Stelle",357,q163
soep-is,soep-is-2011,q163,2,"Yes, a „1-Euro Job“ (community work)","Ja, gemeinnützige Arbeit (1-Euro-Job)",358,q163
soep-is,soep-is-2011,q163,3,No,Nein,359,q163
soep-is,soep-is-2011,q164,-2,No answer,Keine Angabe,360,q164
soep-is,soep-is-2011,q164,1,"Yes, Mini-Job (up to 400 euros)","Ja, Mini-Job (bis 400 Euro)",361,q164
soep-is,soep-is-2011,q164,2,"Yes, Midi-Job (401 to 800 euros)","Ja, Midi-Job (401 bis 800 Euro)",362,q164
soep-is,soep-is-2011,q164,3,No,Nein,363,q164
soep-is,soep-is-2011,q165,1,"Blue-collar worker (Arbeiter), including those working in agriculture",Arbeiter (auch in der Landwirtschaft),364,q165
soep-is,soep-is-2011,q165,2,Self-employed (also: Working for a self-employed relative),Selbständiger (einschl. mithelfender Familienangehörige),365,q165
soep-is,soep-is-2011,q165,3,Apprentice / trainee / intern ,Auszubildende / Praktikanten,366,q165
soep-is,soep-is-2011,q165,4,White-collar worker (Angestellte),Angestellte,367,q165
soep-is,soep-is-2011,q165,5,"Civil servant, including judges and professional soldiers",Beamte / Staatsverwaltung (einschließlich Richter und Berufssoldaten),368,q165
soep-is,soep-is-2011,q165,9,No answer,Keine Angabe,369,q165
soep-is,soep-is-2011,q165a2,-2,No answer,Keine Angabe,370,q165a2
soep-is,soep-is-2011,q165a2,1,Unskilled worker (ungelernt),Ungelernte Arbeiter,371,q165a2
soep-is,soep-is-2011,q165a2,2,Semi-skilled worker (angelernt),Angelernte Arbeiter,372,q165a2
soep-is,soep-is-2011,q165a2,3,Trained worker (gelernter Arbeiter) or skilled worker (Facharbeiter),Gelernte und Facharbeiter,373,q165a2
soep-is,soep-is-2011,q165a2,4,Foreman / forewoman (Vorarbeiter / Kolonnenführer),"Vorarbeiter, Kolonnenführer",374,q165a2
soep-is,soep-is-2011,q165a2,5,Master craftsperson (Meister / Polierer),"Meister, Polier",375,q165a2
soep-is,soep-is-2011,q165b2,1,Self-employed farmer,Selbständige Landwirte,378,q165b2
soep-is,soep-is-2011,q165b2,2,Freelance professional / self-employed academic,"Freie Berufe, selbständige Akademiker",379,q165b2
soep-is,soep-is-2011,q165b2,3,Other self-employed people,Sonstige Selbständige,380,q165b2
soep-is,soep-is-2011,q165b2,4,Working for a self-employed relative,Mithelfende Familienangehörige,381,q165b2
