study,dataset,variable,label,concept,questionnaire,search,question,item,is_primary_key,basket_key,basket_is_default,,conceptual_dataset,period
soep-is,MEM12_IS,mem0911aa,,,soep-is-2012-aufwuchs,mem0911a,Q200,mem0911a,,,,,,
soep-is,MEM12_IS,mem0911ab,,,soep-is-2012-aufwuchs,mem0911a,Q200,mem0911a,,,,,,
soep-is,MEM12_IS,mem0911ac,,,soep-is-2012-aufwuchs,mem0911a,Q200,mem0911a,,,,,,
soep-is,MEM12_IS,mem0911ad,,,soep-is-2012-aufwuchs,mem0911a,Q200,mem0911a,,,,,,
soep-is,MEM12_IS,mem0911ae,,,soep-is-2012-aufwuchs,mem0911a,Q200,mem0911a,,,,,,
soep-is,MEM12_IS,mem0911af,,,soep-is-2012-aufwuchs,mem0911a,Q200,mem0911a,,,,,,
soep-is,MEM12_IS,mem0911ag,,,soep-is-2012-aufwuchs,mem0911a,Q200,mem0911a,,,,,,
soep-is,MEM12_IS,mem0911ah,,,soep-is-2012-aufwuchs,mem0911a,Q200,mem0911a,,,,,,
soep-is,MEM12_IS,mem0911ai,,,soep-is-2012-aufwuchs,mem0911a,Q200,mem0911a,,,,,,
soep-is,MEM12_IS,mem0911aj,,,soep-is-2012-aufwuchs,mem0911a,Q200,mem0911a,,,,,,
soep-is,MEM12_IS,mem0911b,,,soep-is-2012-aufwuchs,mem0911,Q199,mem0911,,,,,,
soep-is,MEM12_IS,mem0911c,,,soep-is-2012-aufwuchs,mem0911,Q199,mem0911,,,,,,
soep-is,MEM12_IS,mem0911d,,,soep-is-2012-aufwuchs,mem0911,Q199,mem0911,,,,,,
soep-is,MEM12_IS,mem0911e,,,soep-is-2012-aufwuchs,mem0911,Q199,mem0911,,,,,,
soep-is,MEM12_IS,mem0911f,,,soep-is-2012-aufwuchs,mem0911,Q199,mem0911,,,,,,
soep-is,MEM12_IS,mem0911g,,,soep-is-2012-aufwuchs,mem0911,Q199,mem0911,,,,,,
soep-is,MEM12_IS,mem0911h,,,soep-is-2012-aufwuchs,mem0911,Q199,mem0911,,,,,,
soep-is,MEM12_IS,mem0911i,,,soep-is-2012-aufwuchs,mem0911,Q199,mem0911,,,,,,
soep-is,MEM12_IS,mem0911j,,,soep-is-2012-aufwuchs,mem0911,Q199,mem0911,,,,,,
soep-is,MEM12_IS,mem0912a,,,soep-is-2012-aufwuchs,mem0912,Q199,mem0912,,,,,,
soep-is,MEM12_IS,mem0912aa,,,soep-is-2012-aufwuchs,mem0912a,Q200,mem0912a,,,,,,
soep-is,MEM12_IS,mem0912ab,,,soep-is-2012-aufwuchs,mem0912a,Q200,mem0912a,,,,,,
soep-is,MEM12_IS,mem0912ac,,,soep-is-2012-aufwuchs,mem0912a,Q200,mem0912a,,,,,,
